"Account Receivable and Payable data from a large manufacturer called WMS Pte Ltd, which has global operations. ",,,,,,,,,,,,





Header ,Description,,,,,,,,,,,
Country,WMS Country of operation,,,,,,,,,,,
Partner,Name of Partner,,,,,,,,,,,
ParternType,Customer or Supplier.  Customer for sales invoices and partner for purchases invoices.  Credit and Debit notes also included in the dataset,,,,,,,,,,,
Bank,Bank of WMS in the Coutry of Operation,,,,,,,,,,,
BankAccount,Bank Account of WMS in the Coutry of Operation,,,,,,,,,,,
invoiceNumber,,,,,,,,,,,,
InvoiceDate,,,,,,,,,,,,
DueDate,,,,,,,,,,,,
PaymentTerms,Days allowed for the invoice to be paid,,,,,,,,,,,
InvoiceCurrency,,,,,,,,,,,,
InvoiceAmount,,,,,,,,,,,,
SettlmentCurrency,,,,,,,,,,,,
CurrencyPair,,,,,,,,,,,,
SettlementAmount,,,,,,,,,,,,
SettledAmountUSD,Everything should be changed in the reporting currency ,,,,,,,,,,,
SettledDate,,,,,,,,,,,,
DocumentType,"Type of invoice: sales, purchase, credit or debit note",,,,,,,,,,,
Country,Partner,ParternType,Bank,BankAccount,invoiceNumber,InvoiceDate,DueDate,PaymentTerms,InvoiceCurrency,InvoiceAmount,SettlmentCurrency,CurrencyPair,SettlementAmount,SettledAmountUSD,SettledDate,DocumentType
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,6895919523,6/5/2018,7/5/2018,30,AUD,71.643,AUD,AUD/AUD,71.64,102.77,7/4/2018,Purchase Invoice
Australia,UC Logistics Australia,Supplier,National Australian Bank (NAB),72236140,4112598584,6/6/2018,7/6/2018,30,AUD,39.618,AUD,AUD/AUD,39.62,56.83,7/7/2018,Purchase Invoice
Australia,CEVA Logistics,Supplier,National Australian Bank (NAB),72236140,2123935121,5/31/2018,6/30/2018,30,AUD,44.44,AUD,AUD/AUD,44.44,63.75,7/9/2018,Purchase Invoice
Australia,UC Logistics Australia,Supplier,National Australian Bank (NAB),72236140,6733279387,6/25/2018,7/25/2018,30,AUD,27.288,AUD,AUD/AUD,27.29,39.15,7/18/2018,Purchase Invoice
Australia,CEVA Logistics,Supplier,National Australian Bank (NAB),72236140,7022171558,5/27/2018,6/26/2018,30,AUD,37.998,AUD,AUD/AUD,38,54.51,7/20/2018,Purchase Invoice
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,956388194,6/19/2018,7/19/2018,30,AUD,75.569,AUD,AUD/AUD,75.57,108.41,8/2/2018,Purchase Invoice
Australia,G&S Logistics,Supplier,National Australian Bank (NAB),72236140,6140327036,7/19/2018,8/18/2018,30,AUD,43.672,AUD,AUD/AUD,43.67,62.64,8/7/2018,Purchase Invoice
Australia,UC Logistics Australia,Supplier,National Australian Bank (NAB),72236140,296502693,7/7/2018,,,AUD,-67.375,AUD,AUD/AUD,-67.38,-96.66,8/12/2018,Debit Note
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,5747214766,7/8/2018,8/7/2018,30,AUD,73.194,AUD,AUD/AUD,73.19,104.99,8/17/2018,Purchase Invoice
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,4120166872,7/20/2018,8/19/2018,30,AUD,96.828,AUD,AUD/AUD,96.83,138.9,9/1/2018,Purchase Invoice
Australia,UC Logistics Australia,Supplier,National Australian Bank (NAB),72236140,3163580192,8/4/2018,9/3/2018,30,AUD,47.412,AUD,AUD/AUD,47.41,68.01,9/6/2018,Purchase Invoice
Australia,CEVA Logistics,Supplier,National Australian Bank (NAB),72236140,9275622447,8/1/2018,,,AUD,-62.955,AUD,AUD/AUD,-62.96,-90.32,10/9/2018,Debit Note
Australia,UC Logistics Australia,Supplier,National Australian Bank (NAB),72236140,2015068403,9/2/2018,10/2/2018,30,AUD,89.316,AUD,AUD/AUD,89.32,128.13,10/12/2018,Purchase Invoice
Australia,CEVA Logistics,Supplier,National Australian Bank (NAB),72236140,9199249355,8/23/2018,9/22/2018,30,AUD,29.834,AUD,AUD/AUD,29.83,42.79,10/17/2018,Purchase Invoice
Australia,G&S Logistics,Supplier,National Australian Bank (NAB),72236140,2514984768,9/30/2018,10/30/2018,30,AUD,42.544,AUD,AUD/AUD,42.54,61.02,10/21/2018,Purchase Invoice
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,203035475,10/3/2018,11/2/2018,30,AUD,58.14,AUD,AUD/AUD,58.14,83.4,10/23/2018,Purchase Invoice
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,1102426847,9/10/2018,10/10/2018,30,AUD,54.856,AUD,AUD/AUD,54.86,78.7,10/25/2018,Purchase Invoice
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,9574377152,9/25/2018,10/25/2018,30,AUD,112.212,AUD,AUD/AUD,112.21,160.97,10/28/2018,Purchase Invoice
Australia,CEVA Logistics,Supplier,National Australian Bank (NAB),72236140,5400777614,9/28/2018,10/28/2018,30,AUD,33.471,AUD,AUD/AUD,33.47,48.01,11/4/2018,Purchase Invoice
Australia,UC Logistics Australia,Supplier,National Australian Bank (NAB),72236140,8131192260,9/23/2018,10/23/2018,30,AUD,54.855,AUD,AUD/AUD,54.86,78.7,11/4/2018,Purchase Invoice
Australia,CEVA Logistics,Supplier,National Australian Bank (NAB),72236140,8420452797,10/11/2018,11/10/2018,30,AUD,112.58,AUD,AUD/AUD,112.58,161.5,11/16/2018,Purchase Invoice
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,1784835295,10/23/2018,11/22/2018,30,AUD,49.944,AUD,AUD/AUD,49.94,71.64,11/24/2018,Purchase Invoice
Australia,G&S Logistics,Supplier,National Australian Bank (NAB),72236140,3867617773,10/27/2018,11/26/2018,30,AUD,62.352,AUD,AUD/AUD,62.35,89.44,11/25/2018,Purchase Invoice
Australia,CEVA Logistics,Supplier,National Australian Bank (NAB),72236140,9729507218,10/25/2018,11/24/2018,30,AUD,67.441,AUD,AUD/AUD,67.44,96.74,11/27/2018,Purchase Invoice
Australia,CEVA Logistics,Supplier,National Australian Bank (NAB),72236140,41323615,10/29/2018,11/28/2018,30,AUD,74.321,AUD,AUD/AUD,74.32,106.61,12/8/2018,Purchase Invoice
Australia,G&S Logistics,Supplier,National Australian Bank (NAB),72236140,915133130,11/14/2018,12/14/2018,30,AUD,71.76,AUD,AUD/AUD,71.76,102.94,12/11/2018,Purchase Invoice
Australia,UC Logistics Australia,Supplier,National Australian Bank (NAB),72236140,1212194471,11/17/2018,12/17/2018,30,AUD,105.012,AUD,AUD/AUD,105.01,150.64,12/13/2018,Purchase Invoice
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,5531823919,11/11/2018,12/11/2018,30,AUD,114.696,AUD,AUD/AUD,114.7,164.54,12/14/2018,Purchase Invoice
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,940362568,11/10/2018,12/10/2018,30,AUD,89.406,AUD,AUD/AUD,89.41,128.26,12/15/2018,Purchase Invoice
Australia,UC Logistics Australia,Supplier,National Australian Bank (NAB),72236140,2265242064,11/7/2018,12/7/2018,30,AUD,91.091,AUD,AUD/AUD,91.09,130.67,12/16/2018,Purchase Invoice
Australia,UC Logistics Australia,Supplier,National Australian Bank (NAB),72236140,8301489660,11/29/2018,12/29/2018,30,AUD,36.207,AUD,AUD/AUD,36.21,51.94,12/28/2018,Purchase Invoice
Australia,CEVA Logistics,Supplier,National Australian Bank (NAB),72236140,1035720463,11/21/2018,12/21/2018,30,AUD,14.469,AUD,AUD/AUD,14.47,20.76,12/30/2018,Purchase Invoice
Australia,G&S Logistics,Supplier,National Australian Bank (NAB),72236140,4303434442,12/19/2018,1/18/2019,30,AUD,29.715,AUD,AUD/AUD,29.72,42.63,12/31/2018,Purchase Invoice
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,7942174906,12/6/2018,1/5/2019,30,AUD,101.556,AUD,AUD/AUD,101.56,145.69,1/14/2019,Purchase Invoice
Australia,G&S Logistics,Supplier,National Australian Bank (NAB),72236140,8131076068,12/18/2018,1/17/2019,30,AUD,68.72,AUD,AUD/AUD,68.72,98.58,1/14/2019,Purchase Invoice
Australia,G&S Logistics,Supplier,National Australian Bank (NAB),72236140,7190127988,12/31/2018,1/30/2019,30,AUD,100.716,AUD,AUD/AUD,100.72,144.48,1/20/2019,Purchase Invoice
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,1581104188,1/8/2019,2/7/2019,30,AUD,64.216,AUD,AUD/AUD,64.22,92.12,1/23/2019,Purchase Invoice
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,9191318840,1/1/2019,1/31/2019,30,AUD,41.013,AUD,AUD/AUD,41.01,58.83,2/1/2019,Purchase Invoice
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,6360019071,12/19/2018,1/18/2019,30,AUD,89.703,AUD,AUD/AUD,89.7,128.67,2/9/2019,Purchase Invoice
Australia,CEVA Logistics,Supplier,National Australian Bank (NAB),72236140,2840106706,1/7/2019,2/6/2019,30,AUD,39.672,AUD,AUD/AUD,39.67,56.91,2/10/2019,Purchase Invoice
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,3714896003,1/13/2019,2/12/2019,30,AUD,84.42,AUD,AUD/AUD,84.42,121.1,2/13/2019,Purchase Invoice
Australia,G&S Logistics,Supplier,National Australian Bank (NAB),72236140,4806512456,1/23/2019,2/22/2019,30,AUD,93.357,AUD,AUD/AUD,93.36,133.92,2/13/2019,Purchase Invoice
Australia,G&S Logistics,Supplier,National Australian Bank (NAB),72236140,3267863834,1/15/2019,2/14/2019,30,AUD,57.55,AUD,AUD/AUD,57.55,82.56,2/18/2019,Purchase Invoice
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,8459322465,1/21/2019,2/20/2019,30,AUD,36.117,AUD,AUD/AUD,36.12,51.81,2/26/2019,Purchase Invoice
Australia,CEVA Logistics,Supplier,National Australian Bank (NAB),72236140,9086012611,1/18/2019,2/17/2019,30,AUD,78.143,AUD,AUD/AUD,78.14,112.09,2/28/2019,Purchase Invoice
Australia,CEVA Logistics,Supplier,National Australian Bank (NAB),72236140,2110257623,1/23/2019,2/22/2019,30,AUD,22.09,AUD,AUD/AUD,22.09,31.69,3/6/2019,Purchase Invoice
Australia,UC Logistics Australia,Supplier,National Australian Bank (NAB),72236140,6252750554,1/20/2019,2/19/2019,30,AUD,83.017,AUD,AUD/AUD,83.02,119.09,3/8/2019,Purchase Invoice
Australia,G&S Logistics,Supplier,National Australian Bank (NAB),72236140,7900191,2/2/2019,3/4/2019,30,AUD,74.088,AUD,AUD/AUD,74.09,106.28,3/11/2019,Purchase Invoice
Australia,UC Logistics Australia,Supplier,National Australian Bank (NAB),72236140,3023098987,2/19/2019,3/22/2019,31,AUD,59.163,AUD,AUD/AUD,59.16,84.87,3/11/2019,Purchase Invoice
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,6546749688,2/5/2019,,,AUD,-54.6,AUD,AUD/AUD,-54.6,-78.32,3/15/2019,Debit Note
Australia,UC Logistics Australia,Supplier,National Australian Bank (NAB),72236140,700683064,2/11/2019,3/12/2019,29,AUD,65.67,AUD,AUD/AUD,65.67,94.2,3/15/2019,Purchase Invoice
Australia,CEVA Logistics,Supplier,National Australian Bank (NAB),72236140,3225556541,2/24/2019,3/27/2019,31,AUD,38.025,AUD,AUD/AUD,38.03,54.55,3/28/2019,Purchase Invoice
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,613092273,3/15/2019,4/14/2019,30,AUD,90.34,AUD,AUD/AUD,90.34,129.59,4/15/2019,Purchase Invoice
Australia,G&S Logistics,Supplier,National Australian Bank (NAB),72236140,2872499898,3/27/2019,4/26/2019,30,AUD,67.41,AUD,AUD/AUD,67.41,96.7,4/21/2019,Purchase Invoice
Australia,CEVA Logistics,Supplier,National Australian Bank (NAB),72236140,3961517917,3/5/2019,,,AUD,-68.66,AUD,AUD/AUD,-68.66,-98.49,4/24/2019,Debit Note
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,1544965471,4/15/2019,5/15/2019,30,AUD,75.55,AUD,AUD/AUD,75.55,108.38,4/26/2019,Purchase Invoice
Australia,G&S Logistics,Supplier,National Australian Bank (NAB),72236140,8517033397,3/26/2019,4/25/2019,30,AUD,49.693,AUD,AUD/AUD,49.69,71.28,4/29/2019,Purchase Invoice
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,3078814988,4/11/2019,5/11/2019,30,AUD,123.006,AUD,AUD/AUD,123.01,176.46,5/4/2019,Purchase Invoice
Australia,CEVA Logistics,Supplier,National Australian Bank (NAB),72236140,3090463170,3/9/2019,4/8/2019,30,AUD,76.297,AUD,AUD/AUD,76.3,109.45,5/7/2019,Purchase Invoice
Australia,G&S Logistics,Supplier,National Australian Bank (NAB),72236140,7786851274,4/15/2019,,,AUD,-59.74,AUD,AUD/AUD,-59.74,-85.7,5/11/2019,Debit Note
Australia,G&S Logistics,Supplier,National Australian Bank (NAB),72236140,4041879860,4/15/2019,5/15/2019,30,AUD,77.9,AUD,AUD/AUD,77.9,111.75,5/11/2019,Purchase Invoice
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,4151030249,4/29/2019,5/29/2019,30,AUD,29.784,AUD,AUD/AUD,29.78,42.72,5/13/2019,Purchase Invoice
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,7369922514,4/4/2019,5/4/2019,30,AUD,116.796,AUD,AUD/AUD,116.8,167.55,5/20/2019,Purchase Invoice
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,9934734192,4/22/2019,5/22/2019,30,AUD,74.19,AUD,AUD/AUD,74.19,106.43,5/23/2019,Purchase Invoice
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,3369665293,4/23/2019,5/23/2019,30,AUD,38.088,AUD,AUD/AUD,38.09,54.64,5/23/2019,Purchase Invoice
Australia,UC Logistics Australia,Supplier,National Australian Bank (NAB),72236140,6969985645,4/15/2019,5/15/2019,30,AUD,70.896,AUD,AUD/AUD,70.9,101.71,5/24/2019,Purchase Invoice
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,572998277,4/21/2019,5/21/2019,30,AUD,70.02,AUD,AUD/AUD,70.02,100.44,5/26/2019,Purchase Invoice
Australia,UC Logistics Australia,Supplier,National Australian Bank (NAB),72236140,889501326,4/30/2019,5/30/2019,30,AUD,97.06,AUD,AUD/AUD,97.06,139.23,5/29/2019,Purchase Invoice
Australia,G&S Logistics,Supplier,National Australian Bank (NAB),72236140,3865457227,4/14/2019,5/14/2019,30,AUD,81.306,AUD,AUD/AUD,81.31,116.64,6/1/2019,Purchase Invoice
Australia,G&S Logistics,Supplier,National Australian Bank (NAB),72236140,2979360299,5/14/2019,6/13/2019,30,AUD,103.67,AUD,AUD/AUD,103.67,148.71,6/3/2019,Purchase Invoice
Australia,G&S Logistics,Supplier,National Australian Bank (NAB),72236140,46936813,5/24/2019,6/23/2019,30,AUD,62.892,AUD,AUD/AUD,62.89,90.22,6/11/2019,Purchase Invoice
Australia,CEVA Logistics,Supplier,National Australian Bank (NAB),72236140,1463367322,4/16/2019,5/16/2019,30,AUD,50.16,AUD,AUD/AUD,50.16,71.95,6/13/2019,Purchase Invoice
Australia,UC Logistics Australia,Supplier,National Australian Bank (NAB),72236140,4355585686,5/10/2019,6/9/2019,30,AUD,72.189,AUD,AUD/AUD,72.19,103.56,6/13/2019,Purchase Invoice
Australia,G&S Logistics,Supplier,National Australian Bank (NAB),72236140,4039055007,5/25/2019,6/24/2019,30,AUD,126.919,AUD,AUD/AUD,126.92,182.07,6/16/2019,Purchase Invoice
Australia,G&S Logistics,Supplier,National Australian Bank (NAB),72236140,5978286857,5/23/2019,6/22/2019,30,AUD,51.48,AUD,AUD/AUD,51.48,73.85,6/17/2019,Purchase Invoice
Australia,UC Logistics Australia,Supplier,National Australian Bank (NAB),72236140,706374821,5/14/2019,6/13/2019,30,AUD,71.487,AUD,AUD/AUD,71.49,102.55,6/17/2019,Purchase Invoice
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,8772169992,5/21/2019,6/20/2019,30,AUD,59.74,AUD,AUD/AUD,59.74,85.7,6/20/2019,Purchase Invoice
Australia,G&S Logistics,Supplier,National Australian Bank (NAB),72236140,1102282638,5/22/2019,,,AUD,-84.81,AUD,AUD/AUD,-84.81,-121.66,6/21/2019,Debit Note
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,9163368930,6/2/2019,7/2/2019,30,AUD,43.75,AUD,AUD/AUD,43.75,62.76,6/25/2019,Purchase Invoice
Australia,UC Logistics Australia,Supplier,National Australian Bank (NAB),72236140,1933975955,5/27/2019,6/26/2019,30,AUD,53.991,AUD,AUD/AUD,53.99,77.45,6/25/2019,Purchase Invoice
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,6895919646,5/31/2019,6/30/2019,30,AUD,65.13,AUD,AUD/AUD,65.13,93.43,6/29/2019,Purchase Invoice
Australia,CEVA Logistics,Supplier,National Australian Bank (NAB),72236140,1491858921,6/3/2019,7/3/2019,30,AUD,47.404,AUD,AUD/AUD,47.4,68,6/30/2019,Purchase Invoice
Australia,UC Logistics Australia,Supplier,National Australian Bank (NAB),72236140,4112598707,5/31/2019,,,AUD,-66.03,AUD,AUD/AUD,-66.03,-94.72,7/1/2019,Debit Note
Australia,CEVA Logistics,Supplier,National Australian Bank (NAB),72236140,6346700757,5/14/2019,6/13/2019,30,AUD,29.99,AUD,AUD/AUD,29.99,43.02,7/3/2019,Purchase Invoice
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,3960703999,5/20/2019,6/19/2019,30,AUD,100.16,AUD,AUD/AUD,100.16,143.68,7/3/2019,Purchase Invoice
Australia,CEVA Logistics,Supplier,National Australian Bank (NAB),72236140,2123935244,5/27/2019,6/26/2019,30,AUD,55.55,AUD,AUD/AUD,55.55,79.69,7/5/2019,Purchase Invoice
Australia,G&S Logistics,Supplier,National Australian Bank (NAB),72236140,9095474958,6/16/2019,7/16/2019,30,AUD,74.848,AUD,AUD/AUD,74.85,107.37,7/7/2019,Purchase Invoice
Australia,CEVA Logistics,Supplier,National Australian Bank (NAB),72236140,5004036952,5/31/2019,6/30/2019,30,AUD,43.857,AUD,AUD/AUD,43.86,62.92,7/10/2019,Purchase Invoice
Australia,CEVA Logistics,Supplier,National Australian Bank (NAB),72236140,7022171681,5/22/2019,6/21/2019,30,AUD,63.33,AUD,AUD/AUD,63.33,90.85,7/12/2019,Purchase Invoice
Australia,UC Logistics Australia,Supplier,National Australian Bank (NAB),72236140,6733279510,6/22/2019,7/22/2019,30,AUD,45.48,AUD,AUD/AUD,45.48,65.24,7/16/2019,Purchase Invoice
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,1133670441,6/29/2019,7/29/2019,30,AUD,107.525,AUD,AUD/AUD,107.53,154.25,7/16/2019,Purchase Invoice
Australia,UC Logistics Australia,Supplier,National Australian Bank (NAB),72236140,4062780694,6/9/2019,7/9/2019,30,AUD,38.208,AUD,AUD/AUD,38.21,54.81,7/16/2019,Purchase Invoice
Australia,G&S Logistics,Supplier,National Australian Bank (NAB),72236140,4824809406,6/23/2019,7/23/2019,30,AUD,43.74,AUD,AUD/AUD,43.74,62.75,7/24/2019,Purchase Invoice
Australia,G&S Logistics,Supplier,National Australian Bank (NAB),72236140,9784423118,6/15/2019,7/15/2019,30,AUD,61.453,AUD,AUD/AUD,61.45,88.15,7/24/2019,Purchase Invoice
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,956388317,6/16/2019,7/16/2019,30,AUD,58.13,AUD,AUD/AUD,58.13,83.39,7/29/2019,Purchase Invoice
Australia,G&S Logistics,Supplier,National Australian Bank (NAB),72236140,6140327159,7/10/2019,8/9/2019,30,AUD,54.59,AUD,AUD/AUD,54.59,78.31,7/31/2019,Purchase Invoice
Australia,G&S Logistics,Supplier,National Australian Bank (NAB),72236140,7336219307,7/2/2019,8/1/2019,30,AUD,37.764,AUD,AUD/AUD,37.76,54.17,8/3/2019,Purchase Invoice
Australia,UC Logistics Australia,Supplier,National Australian Bank (NAB),72236140,296502816,7/4/2019,8/3/2019,30,AUD,61.25,AUD,AUD/AUD,61.25,87.86,8/9/2019,Purchase Invoice
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,5747214889,7/3/2019,8/2/2019,30,AUD,66.54,AUD,AUD/AUD,66.54,95.45,8/12/2019,Purchase Invoice
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,4120166995,7/14/2019,8/13/2019,30,AUD,80.69,AUD,AUD/AUD,80.69,115.75,8/27/2019,Purchase Invoice
Australia,UC Logistics Australia,Supplier,National Australian Bank (NAB),72236140,3163580315,8/2/2019,9/1/2019,30,AUD,79.02,AUD,AUD/AUD,79.02,113.35,8/30/2019,Purchase Invoice
Australia,UC Logistics Australia,Supplier,National Australian Bank (NAB),72236140,681889334,7/29/2019,8/28/2019,30,AUD,33.719,AUD,AUD/AUD,33.72,48.37,8/31/2019,Purchase Invoice
Australia,CEVA Logistics,Supplier,National Australian Bank (NAB),72236140,4237426932,8/6/2019,9/5/2019,30,AUD,29.148,AUD,AUD/AUD,29.15,41.82,9/3/2019,Purchase Invoice
Australia,G&S Logistics,Supplier,National Australian Bank (NAB),72236140,7698254472,8/22/2019,9/21/2019,30,AUD,63.032,AUD,AUD/AUD,63.03,90.42,9/14/2019,Purchase Invoice
Australia,UC Logistics Australia,Supplier,National Australian Bank (NAB),72236140,3109119952,8/14/2019,9/13/2019,30,AUD,99.594,AUD,AUD/AUD,99.59,142.86,9/15/2019,Purchase Invoice
Australia,UC Logistics Australia,Supplier,National Australian Bank (NAB),72236140,5352209179,8/28/2019,9/27/2019,30,AUD,78.741,AUD,AUD/AUD,78.74,112.95,9/19/2019,Purchase Invoice
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,5666196693,9/4/2019,10/4/2019,30,AUD,33.896,AUD,AUD/AUD,33.9,48.63,9/28/2019,Purchase Invoice
Australia,CEVA Logistics,Supplier,National Australian Bank (NAB),72236140,9275622570,7/27/2019,8/26/2019,30,AUD,69.95,AUD,AUD/AUD,69.95,100.34,10/1/2019,Purchase Invoice
Australia,UC Logistics Australia,Supplier,National Australian Bank (NAB),72236140,2015068526,8/30/2019,9/29/2019,30,AUD,74.43,AUD,AUD/AUD,74.43,106.77,10/7/2019,Purchase Invoice
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,806089027,9/15/2019,10/15/2019,30,AUD,60.944,AUD,AUD/AUD,60.94,87.42,10/9/2019,Purchase Invoice
Australia,G&S Logistics,Supplier,National Australian Bank (NAB),72236140,4153488055,9/17/2019,10/17/2019,30,AUD,69.29,AUD,AUD/AUD,69.29,99.4,10/10/2019,Purchase Invoice
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,1102426970,8/31/2019,9/30/2019,30,AUD,68.57,AUD,AUD/AUD,68.57,98.36,10/14/2019,Purchase Invoice
